"clase","nombre_calse"
"101015                                                                                                                                                                                                                                                          ","Animales de granja                                                                                                                                                                                                                                              "
"101016                                                                                                                                                                                                                                                          ","Pájaros y aves de corral                                                                                                                                                                                                                                        "
"101017                                                                                                                                                                                                                                                          ","Peces                                                                                                                                                                                                                                                           "
"101018                                                                                                                                                                                                                                                          ","Mariscos e invertebrados acuáticos                                                                                                                                                                                                                              "
"101019                                                                                                                                                                                                                                                          ","Insectos                                                                                                                                                                                                                                                        "
"101020                                                                                                                                                                                                                                                          ","Animales salvajes                                                                                                                                                                                                                                               "
"101113                                                                                                                                                                                                                                                          ","Tratamientos para los animales domésticos y accesorios y equipo                                                                                                                                                                                                 "
"101215                                                                                                                                                                                                                                                          ","Pienso para ganado                                                                                                                                                                                                                                              "
"101216                                                                                                                                                                                                                                                          ","Alimento para pájaros y aves de corral                                                                                                                                                                                                                          "
"101217                                                                                                                                                                                                                                                          ","Alimento para peces                                                                                                                                                                                                                                             "
"101218                                                                                                                                                                                                                                                          ","Alimento para perros y gatos                                                                                                                                                                                                                                    "
"101219                                                                                                                                                                                                                                                          ","Alimento para roedores                                                                                                                                                                                                                                          "
"101220                                                                                                                                                                                                                                                          ","Alimento para reptiles                                                                                                                                                                                                                                          "
"101221                                                                                                                                                                                                                                                          ","Comida para animales variados                                                                                                                                                                                                                                   "
"101315                                                                                                                                                                                                                                                          ","Cobertizos para animales                                                                                                                                                                                                                                        "
"101316                                                                                                                                                                                                                                                          ","Recipientes para animales                                                                                                                                                                                                                                       "
"101317                                                                                                                                                                                                                                                          ","Hábitat para animales                                                                                                                                                                                                                                           "
"101415                                                                                                                                                                                                                                                          ","Talabartería                                                                                                                                                                                                                                                    "
"101416                                                                                                                                                                                                                                                          ","Arneses                                                                                                                                                                                                                                                         "
"101515                                                                                                                                                                                                                                                          ","Semillas y plántulas vegetales                                                                                                                                                                                                                                  "
"101516                                                                                                                                                                                                                                                          ","Semillas de cereales                                                                                                                                                                                                                                            "
"101517                                                                                                                                                                                                                                                          ","Semillas y plántulas de hierba y forraje                                                                                                                                                                                                                        "
"101518                                                                                                                                                                                                                                                          ","Semillas y plántulas de especias                                                                                                                                                                                                                                "
"101519                                                                                                                                                                                                                                                          ","Semillas, bulbos, plántulas y esquejes de flores                                                                                                                                                                                                                "
"101520                                                                                                                                                                                                                                                          ","Semillas y esquejes de árboles y arbustos                                                                                                                                                                                                                       "
"101521                                                                                                                                                                                                                                                          ","Residuos que no sean de piensos                                                                                                                                                                                                                                 "
"101522                                                                                                                                                                                                                                                          ","Semillas de cultivos fibrosos y semilleros                                                                                                                                                                                                                      "
"101615                                                                                                                                                                                                                                                          ","Árboles y arbustos                                                                                                                                                                                                                                              "
"101616                                                                                                                                                                                                                                                          ","Plantas florales                                                                                                                                                                                                                                                "
"101618                                                                                                                                                                                                                                                          ","Plantas sin flor                                                                                                                                                                                                                                                "
"101619                                                                                                                                                                                                                                                          ","Productos florales secos                                                                                                                                                                                                                                        "
"101715                                                                                                                                                                                                                                                          ","Abonos orgánicos y nutrientes para plantas                                                                                                                                                                                                                      "
