"familia","nombre_familia"
"1010                                                                                                                                                                                                                                                            ","Animales vivos                                                                                                                                                                                                                                                  "
"1011                                                                                                                                                                                                                                                            ","Productos para animales domésticos                                                                                                                                                                                                                              "
"1012                                                                                                                                                                                                                                                            ","Comida de animales                                                                                                                                                                                                                                              "
"1013                                                                                                                                                                                                                                                            ","Recipientes y hábitat para animales                                                                                                                                                                                                                             "
"1014                                                                                                                                                                                                                                                            ","Productos de talabartería y arreo                                                                                                                                                                                                                               "
"1015                                                                                                                                                                                                                                                            ","Semillas, bulbos, plántulas y esquejes                                                                                                                                                                                                                          "
"1016                                                                                                                                                                                                                                                            ","Productos de floricultura y silvicultura                                                                                                                                                                                                                        "
"1017                                                                                                                                                                                                                                                            ","Fertilizantes y nutrientes para plantas y herbicidas                                                                                                                                                                                                            "
"1019                                                                                                                                                                                                                                                            ","Productos para el control de plagas                                                                                                                                                                                                                             "
"1020                                                                                                                                                                                                                                                            ","Rosales vivos                                                                                                                                                                                                                                                   "
"1021                                                                                                                                                                                                                                                            ","Plantas vivas  de especies o variedades de flores altas                                                                                                                                                                                                         "
"1022                                                                                                                                                                                                                                                            ","Plantas vivas  de especies o variedades de flores bajas                                                                                                                                                                                                         "
"1023                                                                                                                                                                                                                                                            ","Crisantemos vivos                                                                                                                                                                                                                                               "
"1024                                                                                                                                                                                                                                                            ","Claveles vivos                                                                                                                                                                                                                                                  "
"1025                                                                                                                                                                                                                                                            ","Orquídeas vivas                                                                                                                                                                                                                                                 "
"1030                                                                                                                                                                                                                                                            ","Rosas frescas cortadas                                                                                                                                                                                                                                          "
"1031                                                                                                                                                                                                                                                            ","Bouquets cortados frescos  de especies o variedades de flores altas                                                                                                                                                                                             "
"1032                                                                                                                                                                                                                                                            ","Bouquets cortados frescos  de especies o variedades de flores bajas                                                                                                                                                                                             "
"1033                                                                                                                                                                                                                                                            ","Crisantemos cortados frescos                                                                                                                                                                                                                                    "
"1034                                                                                                                                                                                                                                                            ","Bouquets florales cortados frescos                                                                                                                                                                                                                              "
"1035                                                                                                                                                                                                                                                            ","Claveles cortados frescos                                                                                                                                                                                                                                       "
"1036                                                                                                                                                                                                                                                            ","Orquídeas cortadas frescas                                                                                                                                                                                                                                      "
"1040                                                                                                                                                                                                                                                            ","Rosas cortadas secas                                                                                                                                                                                                                                            "
"1041                                                                                                                                                                                                                                                            ","Bouquets cortados secos  de especies o variedades de flores altas                                                                                                                                                                                               "
"1042                                                                                                                                                                                                                                                            ","Bouquets cortados secos  de especies o variedades de flores bajas                                                                                                                                                                                               "
"1043                                                                                                                                                                                                                                                            ","Crisantemos cortados secos                                                                                                                                                                                                                                      "
"1044                                                                                                                                                                                                                                                            ","Claveles cortados secos                                                                                                                                                                                                                                         "
"1045                                                                                                                                                                                                                                                            ","Orquídeas cortadas secas                                                                                                                                                                                                                                        "
"1050                                                                                                                                                                                                                                                            ","Follaje cortado fresco                                                                                                                                                                                                                                          "
"1110                                                                                                                                                                                                                                                            ","Minerales, minerales metálicos y metales                                                                                                                                                                                                                        "
"1111                                                                                                                                                                                                                                                            ","Tierra y piedra                                                                                                                                                                                                                                                 "
"1112                                                                                                                                                                                                                                                            ","Productos no comestibles de planta y silvicultura                                                                                                                                                                                                               "
"1113                                                                                                                                                                                                                                                            ","Productos animales no comestibles                                                                                                                                                                                                                               "
"1114                                                                                                                                                                                                                                                            ","Chatarra y materiales de desecho                                                                                                                                                                                                                                "
"1115                                                                                                                                                                                                                                                            ","Fibra, hilos e hilados                                                                                                                                                                                                                                          "
"1116                                                                                                                                                                                                                                                            ","Tejidos y materiales de cuero                                                                                                                                                                                                                                   "
"1117                                                                                                                                                                                                                                                            ","Aleaciones                                                                                                                                                                                                                                                      "
"1118                                                                                                                                                                                                                                                            ","Óxido metálico                                                                                                                                                                                                                                                  "
"1119                                                                                                                                                                                                                                                            ","Desechos metálicos y chatarra                                                                                                                                                                                                                                   "
"1213                                                                                                                                                                                                                                                            ","Materiales explosivos                                                                                                                                                                                                                                           "
"1214                                                                                                                                                                                                                                                            ","Elementos y gases                                                                                                                                                                                                                                               "
"1216                                                                                                                                                                                                                                                            ","Aditivos                                                                                                                                                                                                                                                        "
"1217                                                                                                                                                                                                                                                            ","Colorantes                                                                                                                                                                                                                                                      "
"1218                                                                                                                                                                                                                                                            ","Ceras y aceites                                                                                                                                                                                                                                                 "
"1219                                                                                                                                                                                                                                                            ","Solventes                                                                                                                                                                                                                                                       "
